"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"22 de fev. de 2021","5,4659","5,5128","5,5342","5,4296","151,54K","1,55%"
"19 de fev. de 2021","5,3823","5,4267","5,4706","5,3670","130,38K","-0,82%"
"18 de fev. de 2021","5,4270","5,3877","5,4535","5,3854","128,84K","0,30%"
"17 de fev. de 2021","5,4105","5,3707","5,4331","5,3707","65,79K","0,76%"
"16 de fev. de 2021","5,3695","5,3685","5,3707","5,3685","0,00K","-0,01%"
"15 de fev. de 2021","5,3701","5,3701","5,3701","5,3701","","0,01%"
"12 de fev. de 2021","5,3698","5,3953","5,4127","5,3542","116,06K","0,06%"
"11 de fev. de 2021","5,3665","5,3882","5,4118","5,3330","145,59K","-0,36%"
"10 de fev. de 2021","5,3860","5,3790","5,4378","5,3485","149,78K","0,15%"
"09 de fev. de 2021","5,3781","5,3660","5,4478","5,3535","129,78K","0,23%"
"08 de fev. de 2021","5,3657","5,4040","5,4208","5,3042","131,74K","-0,09%"
"05 de fev. de 2021","5,3704","5,4270","5,4562","5,3436","114,36K","-1,04%"
"04 de fev. de 2021","5,4266","5,3552","5,4571","5,3544","124,01K","1,37%"
"03 de fev. de 2021","5,3534","5,3663","5,3945","5,3201","127,33K","-0,27%"
"02 de fev. de 2021","5,3680","5,4326","5,4326","5,3425","138,24K","-1,18%"
"01 de fev. de 2021","5,4322","5,4663","5,4863","5,4205","121,40K","-0,55%"
"29 de jan. de 2021","5,4625","5,4390","5,5061","5,4189","185,91K","0,40%"
"28 de jan. de 2021","5,4410","5,4250","5,4604","5,3898","187,81K","0,50%"
"27 de jan. de 2021","5,4138","5,3556","5,4205","5,3491","202,31K","1,09%"
"26 de jan. de 2021","5,3552","5,4711","5,4783","5,3119","134,58K","-2,04%"
"25 de jan. de 2021","5,4665","5,4670","5,4670","5,4670","","0,00%"
"22 de jan. de 2021","5,4666","5,3547","5,4875","5,3547","117,18K","2,17%"
"21 de jan. de 2021","5,3506","5,2544","5,4006","5,2314","123,90K","1,11%"
"20 de jan. de 2021","5,2917","5,3589","5,3589","5,2823","104,34K","-1,23%"
"19 de jan. de 2021","5,3578","5,2691","5,3685","5,2420","128,83K","1,17%"
"18 de jan. de 2021","5,2957","5,3025","5,3229","5,2355","74,51K","0,06%"
"15 de jan. de 2021","5,2927","5,1971","5,3108","5,1971","126,16K","1,85%"
"14 de jan. de 2021","5,1967","5,2991","5,3034","5,1910","160,39K","-1,93%"
"13 de jan. de 2021","5,2990","5,3233","5,3550","5,2702","179,94K","-0,44%"
"12 de jan. de 2021","5,3226","5,4893","5,4942","5,3116","156,05K","-3,03%"
"11 de jan. de 2021","5,4890","5,4666","5,5166","5,4491","154,34K","1,31%"
"08 de jan. de 2021","5,4178","5,4108","5,4408","5,3208","191,81K","0,14%"
"07 de jan. de 2021","5,4101","5,3169","5,4187","5,2989","169,63K","1,81%"
"06 de jan. de 2021","5,3139","5,2863","5,3597","5,2318","225,65K","0,54%"
"05 de jan. de 2021","5,2854","5,2955","5,3547","5,2515","179,01K","-0,22%"
"04 de jan. de 2021","5,2968","5,1351","5,2972","5,1197","163,79K","1,98%"
"01 de jan. de 2021","5,1940","5,1940","5,1940","5,1940","","0,00%"
"31 de dez. de 2020","5,1940","5,1940","5,1940","5,1940","","0,01%"
"30 de dez. de 2020","5,1937","5,2051","5,2361","5,1519","88,73K","-0,31%"
"29 de dez. de 2020","5,2099","5,2460","5,2473","5,1645","105,57K","-0,69%"
"28 de dez. de 2020","5,2461","5,1784","5,3124","5,1639","101,12K","0,56%"
"25 de dez. de 2020","5,2167","5,2167","5,2167","5,2167","","0,00%"
"24 de dez. de 2020","5,2165","5,2168","5,2168","5,2168","","0,00%"
"23 de dez. de 2020","5,2164","5,1604","5,2215","5,1287","118,18K","1,10%"
"22 de dez. de 2020","5,1597","5,1220","5,1731","5,1094","135,36K","0,73%"
"21 de dez. de 2020","5,1222","5,2012","5,2250","5,1122","134,51K","0,39%"
"18 de dez. de 2020","5,1022","5,0592","5,1177","5,0592","136,13K","0,87%"
"17 de dez. de 2020","5,0582","5,0601","5,0890","5,0421","106,34K","-0,50%"
"16 de dez. de 2020","5,0838","5,0823","5,1440","5,0645","126,86K","-0,01%"
"15 de dez. de 2020","5,0842","5,1145","5,1248","5,0761","103,74K","-0,68%"
"14 de dez. de 2020","5,1189","5,0383","5,1307","5,0100","113,97K","1,05%"
"11 de dez. de 2020","5,0656","5,0438","5,0886","5,0288","117,43K","0,80%"
"10 de dez. de 2020","5,0256","5,1109","5,1328","5,0143","138,49K","-2,81%"
"09 de dez. de 2020","5,1708","5,1206","5,1981","5,0868","132,36K","0,99%"
"08 de dez. de 2020","5,1202","5,1000","5,1392","5,0627","118,78K","0,42%"
"07 de dez. de 2020","5,0990","5,1597","5,1701","5,0570","111,66K","-1,10%"
"04 de dez. de 2020","5,1557","5,1540","5,1846","5,1164","106,16K","0,08%"
"03 de dez. de 2020","5,1515","5,2178","5,2310","5,1209","117,93K","-1,26%"
"02 de dez. de 2020","5,2175","5,2252","5,2554","5,2059","103,51K","0,22%"
"01 de dez. de 2020","5,2061","5,3158","5,3301","5,2031","122,34K","-2,36%"
"30 de nov. de 2020","5,3319","5,2906","5,3971","5,2737","121,58K","-0,22%"
"27 de nov. de 2020","5,3438","5,3360","5,3801","5,3195","69,73K","0,14%"
"26 de nov. de 2020","5,3365","5,3198","5,3584","5,2955","48,26K","0,24%"
"25 de nov. de 2020","5,3237","5,3740","5,3956","5,3037","100,20K","-0,93%"
"24 de nov. de 2020","5,3736","5,4409","5,4450","5,3703","91,58K","-1,20%"
"23 de nov. de 2020","5,4390","5,3780","5,4507","5,3387","119,52K","1,10%"
"20 de nov. de 2020","5,3797","5,2913","5,3959","5,2847","99,71K","1,40%"
"19 de nov. de 2020","5,3054","5,3633","5,3805","5,2972","112,58K","-1,07%"
"18 de nov. de 2020","5,3629","5,3285","5,3725","5,2740","126,97K","0,65%"
"17 de nov. de 2020","5,3281","5,4165","5,4233","5,3221","120,52K","-1,61%"
"16 de nov. de 2020","5,4152","5,4148","5,4584","5,3636","133,56K","-0,79%"
"13 de nov. de 2020","5,4582","5,4580","5,5264","5,4497","122,14K","0,00%"
"12 de nov. de 2020","5,4581","5,4160","5,4904","5,3526","138,19K","1,24%"
"11 de nov. de 2020","5,3910","5,4180","5,4571","5,3738","121,57K","-0,44%"
"10 de nov. de 2020","5,4147","5,3737","5,4190","5,3345","192,18K","0,54%"
"09 de nov. de 2020","5,3858","5,2746","5,4260","5,2235","202,44K","0,39%"
"06 de nov. de 2020","5,3647","5,5255","5,5742","5,3586","166,00K","-2,90%"
"05 de nov. de 2020","5,5250","5,6129","5,6310","5,5223","146,37K","-2,45%"
"04 de nov. de 2020","5,6635","5,7565","5,7655","5,6434","134,76K","-1,61%"
"03 de nov. de 2020","5,7560","5,6964","5,7667","5,6487","107,43K","0,24%"
"02 de nov. de 2020","5,7425","5,7430","5,7430","5,7430","","-0,04%"
"30 de out. de 2020","5,7446","5,7781","5,8084","5,7217","169,76K","-0,60%"
"29 de out. de 2020","5,7790","5,7466","5,7923","5,7439","151,21K","0,58%"
"28 de out. de 2020","5,7457","5,7060","5,7927","5,7017","200,63K","0,70%"
"27 de out. de 2020","5,7055","5,6243","5,7127","5,5986","102,77K","1,47%"
"26 de out. de 2020","5,6229","5,6551","5,6638","5,6100","119,59K","0,10%"
"23 de out. de 2020","5,6175","5,5929","5,6354","5,5651","103,42K","0,50%"
"22 de out. de 2020","5,5893","5,6088","5,6264","5,5627","118,23K","-0,31%"
"21 de out. de 2020","5,6066","5,6058","5,6294","5,5707","130,39K","0,02%"
"20 de out. de 2020","5,6054","5,6103","5,6267","5,5472","130,23K","-0,03%"
"19 de out. de 2020","5,6069","5,6463","5,6503","5,5665","123,91K","-0,64%"
"16 de out. de 2020","5,6428","5,6097","5,6549","5,5975","104,67K","0,54%"
"15 de out. de 2020","5,6126","5,5958","5,6483","5,5886","144,04K","0,38%"
"14 de out. de 2020","5,5912","5,5729","5,6055","5,5349","127,89K","0,39%"
"13 de out. de 2020","5,5693","5,5263","5,6262","5,5210","131,78K","0,68%"
"12 de out. de 2020","5,5316","5,5316","5,5316","5,5316","","0,00%"
"09 de out. de 2020","5,5318","5,6000","5,6013","5,5104","116,89K","-1,19%"
"08 de out. de 2020","5,5987","5,6128","5,6469","5,5761","132,28K","-0,20%"
"07 de out. de 2020","5,6097","5,5613","5,6396","5,5507","153,56K","0,30%"
"06 de out. de 2020","5,5930","5,5745","5,6174","5,4830","174,53K","0,34%"
"05 de out. de 2020","5,5743","5,6498","5,6774","5,5500","122,12K","-1,95%"
"02 de out. de 2020","5,6851","5,6433","5,6929","5,6072","168,04K","0,73%"
"01 de out. de 2020","5,6437","5,6109","5,6652","5,5739","148,01K","0,58%"
"30 de set. de 2020","5,6112","5,6352","5,6705","5,5870","183,30K","-0,41%"
"29 de set. de 2020","5,6344","5,6614","5,6786","5,6061","163,25K","-0,50%"
"28 de set. de 2020","5,6627","5,5135","5,6760","5,5127","130,06K","1,80%"
"25 de set. de 2020","5,5624","5,5097","5,5890","5,5097","139,29K","0,97%"
"24 de set. de 2020","5,5089","5,5930","5,6243","5,4926","177,56K","-1,53%"
"23 de set. de 2020","5,5943","5,4702","5,5991","5,4700","136,86K","2,26%"
"22 de set. de 2020","5,4704","5,4146","5,4967","5,3828","150,16K","1,06%"
"21 de set. de 2020","5,4131","5,4511","5,4979","5,3876","142,42K","0,47%"
"18 de set. de 2020","5,3876","5,2397","5,3988","5,2391","129,11K","2,83%"
"17 de set. de 2020","5,2394","5,2379","5,2924","5,2264","128,05K","0,03%"
"16 de set. de 2020","5,2377","5,2762","5,2785","5,2102","136,75K","-0,70%"
"15 de set. de 2020","5,2748","5,2698","5,3016","5,2192","126,53K","0,08%"
"14 de set. de 2020","5,2706","5,3191","5,3235","5,2613","108,01K","-0,91%"
"11 de set. de 2020","5,3189","5,3209","5,3495","5,2583","120,76K","-0,04%"
"10 de set. de 2020","5,3210","5,3095","5,3325","5,2681","130,50K","0,25%"
